Site;Layer LTE;LTE detail;CelleLTE_Configurate;Admnistrative_State;Baseband 5216;Baseband 6620;Baseband 6630;Baseband R503;Presenza Baseband;DUS3101;DUS3102;DUS4101;DUS4102;Presenza DUS;#Radio;#RRU;#RU;BB/DU Presenti;0
FIB6;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FIB7;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FIB9;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FIBB;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
FIBC;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FIBD;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FIBE;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FIBF;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
FIC0;2;L8L18;5;5;;;;;;;;1;;#1 DUS4101;;;10;DUS41;
FIC2;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FIC4;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FIC5;4;L8L18L21L26;8;6;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
FIC6;3;L8L18L26;8;8;;;1;;#1 Baseband 6630;;;;;;3;;10;BB6630;
FIC7;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FIC8;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
FICD;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FICF;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;3;6;DUS41;
FID0;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
FID2;2;L18L21;4;4;1;;;;#1 Baseband 5216;;;;;;;;4;BB5216;
FID4;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FID5;2;L18L21;4;4;;;;;;;;;1;#1 DUS4102;;;5;DUS41;
FID6;2;L18L21;6;6;1;;;;#1 Baseband 5216;;;;;;;;9;BB5216;
FID8;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
FID9;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
FIDE;3;L8L18L26;8;8;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;3;;10;BB5216+R503;
FIDF;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
FIE0;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
FIE1;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FIE2;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FIE4;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FIE7;2;L8L18;5;5;;;;;;;;1;;#1 DUS4101;;;10;DUS41;
FIEC;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;;6;;BB6630;
FIEE;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
FIEF;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FIF0;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FIF2;2;L8L18;5;5;;;1;;#1 Baseband 6630;;;;;;;;10;BB6630;
FIF3;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
FIF5;2;L18L26;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
FIF7;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FIFC;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FIFD;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;2;;DUS41;
FIFF;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
FR01;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;8;;;BB6630;
FR03;3;L8L18L26;7;7;;;1;;#1 Baseband 6630;;;;;;6;;2;BB6630;
FR04;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
FR05;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FR06;2;L8L21;4;4;;;;;;;;1;;#1 DUS4101;3;1;;DUS41;
FR07;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
FR08;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;6;;BB6630;
FR09;2;L18L21;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
FR0C;2;L8L21;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
FR0E;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FR0F;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FR10;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;4;BB6630;
FR11;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FR12;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
FR13;3;L8L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;4;;4;BB6630;
FR14;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
FR16;3;L8L18L21;7;7;;;1;;#1 Baseband 6630;;;;;;3;4;;BB6630;
FR17;4;L8L18L21L26;8;8;;;1;;#1 Baseband 6630;;;;;;6;;4;BB6630;
FR18;2;L8L18;2;2;;;;;;;;;1;#1 DUS4102;1;;2;DUS41;
FR1D;3;L8L18L21;8;8;;;1;;#1 Baseband 6630;;;;;;3;5;;BB6630;
FR1E;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;2;DUS41;
FR20;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
FR21;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;2;;DUS41;
FR22;3;L8L18L26;6;5;;;1;;#1 Baseband 6630;;;;;;2;;6;BB6630;
FR23;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
FR24;1;L8;1;1;;;;;;;;;1;#1 DUS4102;;1;;DUS41;
FR25;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
FR26;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FR27;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
FR2A;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
FR2B;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
FR2C;3;L8L18L21;9;9;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;9;;;BB5216+R503;
FR2F;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FR30;3;L8L18L21;6;6;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;6;;;BB5216+R503;
FR31;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FR33;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
FR34;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
FR35;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
FR36;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
FR38;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FR3A;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
FR3B;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;;;8;DUS41;
FR3C;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FR3D;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FR41;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
FR42;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
FR43;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
FR44;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FR45;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
FR46;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
FR47;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
FR4B;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FR4C;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
FR4E;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
FR4F;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FR50;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
FR51;3;L8L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;4;;4;BB6630;
FR52;2;L8L18;2;2;;;;;;;;;1;#1 DUS4102;1;;2;DUS41;
FR53;2;L18L21;5;5;;;;;;;;;1;#1 DUS4102;3;2;;DUS41;
FR54;3;L8L18L21;8;8;;;1;;#1 Baseband 6630;;;;;;3;;10;BB6630;
FR55;2;L8L18;2;2;;;;;;;;;1;#1 DUS4102;1;;2;DUS41;
FR56;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
FR58;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
FR5B;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FR5C;2;L8L21;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
FR5D;1;L18;1;1;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
FR5E;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FR5F;3;L8L18L21;8;8;;;1;;#1 Baseband 6630;;;;;;3;;10;BB6630;
FR60;4;L8L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;6;;11;BB6630;
FR61;1;L8;1;1;;;;;;;;;1;#1 DUS4102;1;;;DUS41;
FR62;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FR63;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
FR64;2;L8L18;4;4;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
FR66;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FR67;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
FR69;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FR6A;3;L8L18L21;6;3;;;1;;#1 Baseband 6630;;;;;;;2;4;BB6630;
FR6B;2;L18L21;2;2;;;;;;;;;1;#1 DUS4102;1;1;;DUS41;
FR6C;2;L18L21;4;4;;;;;;;;;1;#1 DUS4102;;;8;DUS41;
FR6D;2;L18L21;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FR6E;2;L18L21;2;2;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;1;;2;BB5216+R503;
FR6F;2;L18L21;3;3;1;;;;#1 Baseband 5216;;;;;;;;5;BB5216;
FR70;4;L8L18L21L26;9;8;;;1;;#1 Baseband 6630;;;;;;5;;6;BB6630;
FR71;2;L8L18;4;4;;;;;;;;;1;#1 DUS4102;2;2;;DUS41;
FR72;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
FR73;1;L21;3;3;;;;;;;;1;;#1 DUS4101;3;;;DUS41;
FR75;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
FR76;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
FR77;2;L8L21;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FR78;2;L8L21;4;4;;;;;;;;1;;#1 DUS4101;3;;2;DUS41;
FR7A;2;L18L21;4;4;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;1;;4;BB5216+R503;
FR7B;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FR7C;1;L21;2;2;;;1;;#1 Baseband 6630;;;;;;;;3;BB6630;
FR80;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;4;BB6630;
FR82;2;L18L21;6;6;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;3;3;;BB5216+R503;
FR84;2;L8L21;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FR85;4;L8L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;9;;6;BB6630;
FR86;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;10;;;BB6630;
FR87;2;L18L21;5;5;;;;;;;;;1;#1 DUS4102;5;;;DUS41;
FR88;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FR8C;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FR8D;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FR8E;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FR8F;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FR90;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FR91;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
FR93;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FR94;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FR97;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FR9B;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FR9C;3;L8L18L21;9;9;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;9;;;BB5216+R503;
FR9D;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FR9E;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FR9F;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FRA3;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FRA4;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FRA8;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FRAF;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;5;4;;BB6630;
FRB2;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
FRB3;3;L8L18L21;9;9;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;9;;;BB5216+R503;
FRB4;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;6;;6;BB6630;
FRB5;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
FRB6;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
FRB8;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FRBA;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
FRC0;2;L18L21;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
FRC1;3;L8L18L26;8;8;;;1;;#1 Baseband 6630;;;;;;6;2;;BB6630;
FRC2;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;8;1;;BB6630;
FRC3;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FRC4;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
FRC6;4;L8L18L21L26;12;12;;;1;;#1 Baseband 6630;;;;;;6;6;;BB6630;
FRD6;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FRD8;2;L18L21;2;2;;;;;;;;;1;#1 DUS4102;1;1;;DUS41;
FRD9;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FRDE;3;L8L18L21;12;12;;;1;;#1 Baseband 6630;;;;;;8;;;BB6630;
FRE4;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
FX02;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FX04;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
FX05;3;L8L18L26;5;5;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;1;;8;BB5216+R503;
FX07;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FX09;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;5;;;BB5216;
FX0B;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
FX0C;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FX0D;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FX0E;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FX0F;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FX10;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;;;8;DUS41;
FX11;2;L8L26;6;6;;;;;;;;2;;#2 DUS4101;3;3;;DUS41;
FX12;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FX14;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FX15;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FX17;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FX19;3;L8L18L26;9;9;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;3;9;;BB5216+R503;
FX1E;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FX1F;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FX20;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
FX21;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FX22;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FX24;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;;2;;BB5216;
FX2A;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FX2B;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
FX2C;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FX2D;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
FX2E;5;L8L15L18L21L26;15;12;;;2;;#2 Baseband 6630;;;;;;15;;;BB6630;
FX2F;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
FX34;1;L26;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FX36;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FX39;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FX3A;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FX3B;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FX3C;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FX3D;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;4;;;DUS41;
FX3F;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FX40;3;L8L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
FX48;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;3;3;6;BB6630;
FX4C;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FX4D;3;L8L18L21;9;6;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FX4E;2;L8L18;4;4;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
FX4F;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FX51;1;L21;1;1;;;1;;#1 Baseband 6630;;;;;;;;1;BB6630;
FX53;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;2;;4;DUS41;
FX5A;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
FX5B;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
FX5D;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
FX5E;5;L8L15L18L21L26;15;15;;;2;;#2 Baseband 6630;;;;;;15;;;BB6630;
FX5F;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;3;;DUS41;
FX61;3;L8L18L21;7;7;;;1;;#1 Baseband 6630;;;;;;4;;6;BB6630;
FX63;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
FX68;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;;;8;DUS41;
FX69;2;L8L18;4;4;;;;;;;;1;;#1 DUS4101;3;1;;DUS41;
FX6B;3;L8L18L21;9;6;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FX6D;3;L8L18L21;9;6;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FX6F;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FX71;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FX73;1;L26;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
FX74;2;L18L26;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
FX76;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FX7A;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FX7B;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
FX7C;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FX7D;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FX82;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FX83;2;L18L26;5;5;;;;;;;;;1;#1 DUS4102;2;;6;DUS41;
FX84;2;L8L18;5;5;;;;;;;;1;;#1 DUS4101;3;2;;DUS41;
FX86;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FX87;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FX88;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;2;4;;BB6630;
FX8B;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
FX8C;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
FX8E;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FX90;1;L8;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
FX91;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FX94;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
FX9F;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FXA1;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;6;;;DUS41;
FXA2;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FXA4;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;3;;DUS41;
FXA9;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FXAA;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
FXAD;2;L18L26;12;12;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;12;;;BB5216+R503;
FXF1;2;L18L26;6;6;;;;;;;;;1;#1 DUS4102;6;;;DUS41;
FXF7;3;L8L18L21;9;6;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FXF9;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
FXFA;4;L8L18L21L26;8;6;;;2;;#2 Baseband 6630;;;;;;5;;;BB6630;
FXFB;3;L8L18L21;9;6;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FXFF;1;L18;1;1;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
FY01;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
FY02;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FY03;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;3;;6;DUS41;
FY04;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FY05;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FY07;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FY08;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FY09;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;2;;DUS41;
FY0C;3;L8L18L26;8;8;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;8;;;BB5216+R503;
FY0E;1;L8;2;2;;;;;;;;1;;#1 DUS4101;;;4;DUS41;
FY11;3;L8L18L26;5;5;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;2;;6;BB5216+R503;
FY12;3;L8L18L26;7;7;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;3;;8;BB5216+R503;
FY13;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FY14;3;L8L18L26;8;8;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;3;;10;BB5216+R503;
FY15;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FY16;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
FY17;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
FY1A;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
FY1B;3;L18L21L26;9;6;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
FY1C;4;L8L18L21L26;12;9;;;2;;#2 Baseband 6630;;;;;;9;;;BB6630;
FY1E;4;L8L18L21L26;12;9;;;2;;#2 Baseband 6630;;;;;;9;;;BB6630;
FY29;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
FY2A;4;L8L18L21L26;12;9;;;2;;#2 Baseband 6630;;;;;;9;;;BB6630;
FY2B;4;L8L18L21L26;12;9;;;2;;#2 Baseband 6630;;;;;;9;;;BB6630;
FY2C;4;L8L18L21L26;12;9;;;2;;#2 Baseband 6630;;;;;;9;;;BB6630;
FY2D;3;L8L18L21;9;6;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
FY2E;4;L8L18L21L26;12;9;;;2;;#2 Baseband 6630;;;;;;9;;;BB6630;
